Date,Open,High,Low,Close
2018-01-26,17.0,18.920000076293945,16.65999984741211,18.5
2018-01-29,18.450000762939453,19.0,18.010000228881836,18.899999618530273
2018-01-30,18.670000076293945,19.770000457763672,18.0,19.43000030517578
2018-01-31,19.420000076293945,19.8799991607666,19.049999237060547,19.56999969482422
2018-02-01,19.5,19.5,18.56999969482422,19.420000076293945
2018-02-02,19.389999389648438,19.8799991607666,19.024999618530273,19.43000030517578
2018-02-05,19.489999771118164,19.489999771118164,18.5049991607666,19.18000030517578
2018-02-06,18.940000534057617,19.09000015258789,18.222999572753906,19.020000457763672
2018-02-07,18.75,19.84000015258789,18.53499984741211,19.3799991607666
2018-02-08,19.309999465942383,20.010000228881836,19.024999618530273,19.149999618530273
2018-02-09,19.2549991607666,19.969999313354492,19.110000610351562,19.729999542236328
2018-02-12,19.729999542236328,20.799999237060547,19.18000030517578,20.1200008392334
2018-02-13,20.010000228881836,20.010000228881836,19.15999984741211,19.760000228881836
2018-02-14,19.8700008392334,20.719999313354492,19.361000061035156,20.270000457763672
2018-02-15,20.139999389648438,20.34000015258789,19.530000686645508,19.84000015258789
2018-02-16,19.8700008392334,20.440000534057617,19.6200008392334,19.950000762939453
2018-02-20,19.799999237060547,20.420000076293945,19.503999710083008,19.739999771118164
2018-02-21,19.809999465942383,20.049999237060547,19.167999267578125,19.84000015258789
2018-02-22,19.790000915527344,19.979999542236328,19.329999923706055,19.559999465942383
2018-02-23,19.489999771118164,20.020000457763672,18.60099983215332,20.010000228881836
2018-02-26,20.0,20.049999237060547,19.6200008392334,19.850000381469727
2018-02-27,19.850000381469727,20.0,19.6299991607666,19.790000915527344
2018-02-28,19.799999237060547,20.719999313354492,19.510000228881836,20.709999084472656
2018-03-01,20.600000381469727,21.739999771118164,20.469999313354492,21.399999618530273
2018-03-02,21.399999618530273,21.459999084472656,20.90999984741211,21.25
2018-03-05,21.34000015258789,21.5,20.809999465942383,20.920000076293945
2018-03-06,21.049999237060547,21.25,20.670000076293945,20.959999084472656
2018-03-07,20.860000610351562,21.059999465942383,20.110000610351562,20.84000015258789
2018-03-08,20.8799991607666,21.299999237060547,20.739999771118164,20.889999389648438
2018-03-09,20.93000030517578,21.190000534057617,20.395000457763672,20.84000015258789
2018-03-12,20.90999984741211,21.5,20.600000381469727,20.969999313354492
2018-03-13,20.959999084472656,21.1299991607666,20.18000030517578,20.889999389648438
2018-03-14,20.979999542236328,21.989999771118164,20.549999237060547,21.510000228881836
2018-03-15,21.59000015258789,22.489999771118164,21.516000747680664,22.020000457763672
2018-03-16,22.100000381469727,22.5,21.440000534057617,21.889999389648438
2018-03-19,21.860000610351562,21.969999313354492,21.25,21.40999984741211
2018-03-20,21.5,21.729999542236328,21.25,21.450000762939453
2018-03-21,21.459999084472656,22.09000015258789,21.459999084472656,22.040000915527344
2018-03-22,21.889999389648438,22.344999313354492,21.719999313354492,21.729999542236328
2018-03-23,21.8700008392334,22.100000381469727,21.020000457763672,21.309999465942383
